2020-09-07 17:38:24,194 [AUDIT] Token created by 'anonymous': tokenId='2d59aef9-374b-46d9-b107-a08c09ba530c', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-07 18:18:34,858 [AUDIT] Token created by 'jffe@000': tokenId='19780db2-5372-4758-bfed-44366ed8a98e', issuer='jffe@000', subject='jffe@000', expiry=1599503314858, refreshable=false
2020-09-07 18:18:34,875 [AUDIT] Token created by 'jffe@000': tokenId='8dbed915-b520-48eb-bcb3-d7e5e02fe2d0', issuer='jffe@000', subject='jffe@000', expiry=1599503314874, refreshable=false
2020-09-07 18:27:37,762 [AUDIT] Token created by 'anonymous': tokenId='11e21ef5-1911-46ce-9679-363a2494dc57', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-07 18:27:42,668 [AUDIT] Token created by 'anonymous': tokenId='3ef9bad1-2e87-489e-bfb6-24b8b5bd50b4', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599503382665, refreshable=false
2020-09-07 18:27:43,427 [AUDIT] Token created by 'anonymous': tokenId='1c0fb07d-494d-4ada-8278-602451664ea3', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-07 18:27:43,468 [AUDIT] Token created by 'anonymous': tokenId='9277b172-265b-45ef-a106-8e891aa2ba7b', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-07 18:27:45,036 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='0972043b-c792-4519-89e8-f4356d47754a', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545583265034, refreshable=false
2020-09-07 18:27:51,979 [AUDIT] Token created by 'anonymous': tokenId='984322b2-4ee6-4851-ad04-8b584febc575', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 18:27:52,219 [AUDIT] Token created by 'jffe@000': tokenId='11456f83-727c-4dd9-af6c-c2f0442828b7', issuer='jffe@000', subject='jffe@000', expiry=1599503872219, refreshable=false
2020-09-07 18:29:31,122 [AUDIT] Token created by 'anonymous': tokenId='c9da1076-edc1-4db3-ab7a-a4466dee203e', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-07 18:29:35,286 [AUDIT] Token created by 'anonymous': tokenId='d012fb03-0c90-450e-bec7-9a305d1c193f', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599503495272, refreshable=false
2020-09-07 18:29:35,416 [AUDIT] Token created by 'anonymous': tokenId='dcc9f562-13cf-4d56-8d63-cd61dea8e596', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599503495412, refreshable=false
2020-09-07 18:29:35,640 [AUDIT] Token created by 'anonymous': tokenId='9519cd01-3e4c-4f16-afc1-4d45aadbae06', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599503495635, refreshable=false
2020-09-07 18:29:35,816 [AUDIT] Token created by 'anonymous': tokenId='f291fa96-830c-4609-81b9-6b09585beca1', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-07 18:29:36,800 [AUDIT] Token created by 'anonymous': tokenId='96f1cb79-322b-4ac2-8b02-38af8ff2193d', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-07 18:29:38,434 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='fa192c7c-a534-4c98-888f-853c8e61da16', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545583378432, refreshable=false
2020-09-07 18:29:44,553 [AUDIT] Token created by 'anonymous': tokenId='9242228e-980b-41c6-9437-8a84f97e2826', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 18:29:44,610 [AUDIT] Token created by 'jffe@000': tokenId='af1f1ae2-0868-4890-b45d-424cdc52bdf8', issuer='jffe@000', subject='jffe@000', expiry=1599503984610, refreshable=false
2020-09-07 18:39:47,121 [AUDIT] Token created by 'jffe@000': tokenId='562c591a-0890-448b-8b34-7ca3e0c2f311', issuer='jffe@000', subject='jffe@000', expiry=1599504587121, refreshable=false
2020-09-07 18:39:47,122 [AUDIT] Token created by 'jffe@000': tokenId='c0ac2a43-2254-4464-aba2-f7bf00ddb923', issuer='jffe@000', subject='jffe@000', expiry=1599504587122, refreshable=false
2020-09-07 18:39:47,122 [AUDIT] Token created by 'jffe@000': tokenId='2e766117-c4b6-4749-8eac-d3353e3e545a', issuer='jffe@000', subject='jffe@000', expiry=1599504587122, refreshable=false
2020-09-07 18:39:47,133 [AUDIT] Token created by 'jffe@000': tokenId='60dce1ae-81cc-4eed-9096-db1a4a828050', issuer='jffe@000', subject='jffe@000', expiry=1599504587133, refreshable=false
2020-09-07 18:46:01,494 [AUDIT] Token created by 'jffe@000': tokenId='e83451c3-d4dc-45c7-a4f6-f24458620550', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599504961494, refreshable=false
2020-09-07 18:46:01,512 [AUDIT] Token created by 'jffe@000': tokenId='8a0a28e7-3795-451a-922c-98ae788e6a7d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599504961511, refreshable=false
2020-09-07 18:46:01,512 [AUDIT] Token created by 'jffe@000': tokenId='fe83dbed-fcb3-4c40-9d40-f16d01fd3413', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599504961511, refreshable=false
2020-09-07 18:46:01,535 [AUDIT] Token created by 'jffe@000': tokenId='36fd0640-d2ea-4a58-b43c-f689d4766d8d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1599504961535, refreshable=false
2020-09-07 18:49:47,278 [AUDIT] Token created by 'jffe@000': tokenId='c38f9240-9254-4a3a-873a-fbae6b16a0ec', issuer='jffe@000', subject='jffe@000', expiry=1599505187278, refreshable=false
2020-09-07 18:49:47,278 [AUDIT] Token created by 'jffe@000': tokenId='38629174-821e-465d-8b1f-8629073292a4', issuer='jffe@000', subject='jffe@000', expiry=1599505187278, refreshable=false
2020-09-07 18:49:47,287 [AUDIT] Token created by 'jffe@000': tokenId='30cf0273-dfcf-419d-8ea2-9acd3ea6c2ef', issuer='jffe@000', subject='jffe@000', expiry=1599505187287, refreshable=false
2020-09-07 18:49:47,292 [AUDIT] Token created by 'jffe@000': tokenId='2624adc2-18d3-4873-b0e0-307fc8ca27dd', issuer='jffe@000', subject='jffe@000', expiry=1599505187292, refreshable=false
2020-09-07 18:59:47,373 [AUDIT] Token created by 'jffe@000': tokenId='b05a8392-fbef-43e3-b129-1d1b0fd25381', issuer='jffe@000', subject='jffe@000', expiry=1599505787373, refreshable=false
2020-09-07 18:59:47,373 [AUDIT] Token created by 'jffe@000': tokenId='34095f2d-1550-4688-8e0a-2a003ef4a1f7', issuer='jffe@000', subject='jffe@000', expiry=1599505787373, refreshable=false
2020-09-07 18:59:47,376 [AUDIT] Token created by 'jffe@000': tokenId='73f5b819-609c-4408-9013-8b7a78997b52', issuer='jffe@000', subject='jffe@000', expiry=1599505787375, refreshable=false
2020-09-07 18:59:47,395 [AUDIT] Token created by 'jffe@000': tokenId='010ab93b-abea-4114-be28-f964ad072610', issuer='jffe@000', subject='jffe@000', expiry=1599505787394, refreshable=false
2020-09-07 19:09:47,447 [AUDIT] Token created by 'jffe@000': tokenId='ba525bdb-0901-4716-af29-ee6923c79697', issuer='jffe@000', subject='jffe@000', expiry=1599506387447, refreshable=false
2020-09-07 19:09:47,450 [AUDIT] Token created by 'jffe@000': tokenId='af9cf8cb-c06e-44c4-81e0-c4ced63cb3b8', issuer='jffe@000', subject='jffe@000', expiry=1599506387450, refreshable=false
2020-09-07 19:09:47,453 [AUDIT] Token created by 'jffe@000': tokenId='707e4203-0416-4bd9-9704-03198584a3fb', issuer='jffe@000', subject='jffe@000', expiry=1599506387453, refreshable=false
2020-09-07 19:09:47,456 [AUDIT] Token created by 'jffe@000': tokenId='c7467693-bfaf-40c8-baaf-d7ea67498832', issuer='jffe@000', subject='jffe@000', expiry=1599506387456, refreshable=false
2020-09-08 17:57:17,906 [AUDIT] Token created by 'anonymous': tokenId='929aca19-c432-49d8-a833-9641ec832872', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 17:57:17,981 [AUDIT] Token revoked by 'anonymous': tokenId='c9da1076-edc1-4db3-ab7a-a4466dee203e', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 17:57:18,885 [AUDIT] Token created by 'anonymous': tokenId='fdfc2931-6ac8-48bb-bc62-237edd5097ac', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-08 17:57:18,897 [AUDIT] Token revoked by 'anonymous': tokenId='96f1cb79-322b-4ac2-8b02-38af8ff2193d', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-08 17:57:19,383 [AUDIT] Token created by 'anonymous': tokenId='91ea42c5-f673-4563-95b4-829b9ab50b7f', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-08 17:57:19,392 [AUDIT] Token revoked by 'anonymous': tokenId='f291fa96-830c-4609-81b9-6b09585beca1', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-08 17:57:20,891 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='193c60ec-8395-4182-a77c-a94c2171a296', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545667840890, refreshable=false
2020-09-08 17:57:21,959 [AUDIT] Token created by 'anonymous': tokenId='0f2d13b5-5701-4003-ae6c-74cbedb2f189', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599587961948, refreshable=false
2020-09-08 17:57:26,274 [AUDIT] Token created by 'anonymous': tokenId='c8b5e4ec-0dcb-40b3-aac6-3ac1ff83d3b2', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-08 17:57:26,281 [AUDIT] Token revoked by 'anonymous': tokenId='9242228e-980b-41c6-9437-8a84f97e2826', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-08 17:57:26,318 [AUDIT] Token created by 'jffe@000': tokenId='c0d53390-ea85-4f7f-98bc-cb88c25f0ed8', issuer='jffe@000', subject='jffe@000', expiry=1599588446318, refreshable=false
2020-09-08 18:04:04,678 [AUDIT] Token created by 'anonymous': tokenId='e8e5ff25-5785-4824-aa6f-25798e5dabd7', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 18:04:04,734 [AUDIT] Token revoked by 'anonymous': tokenId='929aca19-c432-49d8-a833-9641ec832872', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 18:04:05,129 [AUDIT] Token created by 'anonymous': tokenId='60310b3e-6641-4e25-8cc3-40b84bed1de6', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-08 18:04:05,140 [AUDIT] Token revoked by 'anonymous': tokenId='91ea42c5-f673-4563-95b4-829b9ab50b7f', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-08 18:04:05,526 [AUDIT] Token created by 'anonymous': tokenId='5ac62262-4b51-4459-bb20-5be3baa58d16', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-08 18:04:05,534 [AUDIT] Token revoked by 'anonymous': tokenId='fdfc2931-6ac8-48bb-bc62-237edd5097ac', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-08 18:04:06,564 [AUDIT] Token created by 'anonymous': tokenId='7e35daac-08ac-4d23-830b-495d6c4b7dcb', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599588366559, refreshable=false
2020-09-08 18:04:06,755 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='15c70394-85d6-4e7e-ae8c-7188c72187d7', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545668246753, refreshable=false
2020-09-08 18:04:10,256 [AUDIT] Token created by 'anonymous': tokenId='18dfa4f9-a8d7-4ebf-95f3-9ca878d3ff8e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-08 18:04:10,264 [AUDIT] Token revoked by 'anonymous': tokenId='c8b5e4ec-0dcb-40b3-aac6-3ac1ff83d3b2', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-08 18:04:10,295 [AUDIT] Token created by 'jffe@000': tokenId='e704b5c1-9095-4133-b2b1-c42a938640fd', issuer='jffe@000', subject='jffe@000', expiry=1599588850294, refreshable=false
2020-09-08 18:13:43,634 [AUDIT] Token created by 'anonymous': tokenId='ab25e074-5eb9-4434-9d12-d390056dc7f1', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 18:13:43,689 [AUDIT] Token revoked by 'anonymous': tokenId='e8e5ff25-5785-4824-aa6f-25798e5dabd7', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 18:13:46,625 [AUDIT] Token created by 'anonymous': tokenId='1727aa33-6955-4a00-aac8-678429c7570d', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599588946621, refreshable=false
2020-09-08 18:13:46,746 [AUDIT] Token created by 'anonymous': tokenId='54e7108d-ac7d-4952-b1b6-d6ece8fd94d6', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599588946743, refreshable=false
2020-09-08 18:13:46,967 [AUDIT] Token created by 'anonymous': tokenId='688d2a2f-9f19-4772-88e9-4a5c14cf9794', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599588946961, refreshable=false
2020-09-08 18:13:47,397 [AUDIT] Token created by 'anonymous': tokenId='08edd344-ad59-4e42-81a6-bcc792a0f62e', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599588947391, refreshable=false
2020-09-08 18:13:48,229 [AUDIT] Token created by 'anonymous': tokenId='231d4cd4-f6dd-4ad4-aaed-611f4df7e41d', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599588948228, refreshable=false
2020-09-08 18:13:48,335 [AUDIT] Token created by 'anonymous': tokenId='17f4487d-96ac-433c-81de-47ac0fd9d9aa', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-08 18:13:48,352 [AUDIT] Token revoked by 'anonymous': tokenId='5ac62262-4b51-4459-bb20-5be3baa58d16', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-08 18:13:48,490 [AUDIT] Token created by 'anonymous': tokenId='7522c35d-d38c-4722-9936-c6249b74d203', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-08 18:13:48,497 [AUDIT] Token revoked by 'anonymous': tokenId='60310b3e-6641-4e25-8cc3-40b84bed1de6', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-08 18:13:49,547 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='b29a3f24-8ba3-4f52-8fac-a91173560111', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545668829544, refreshable=false
2020-09-08 18:13:53,382 [AUDIT] Token created by 'anonymous': tokenId='47902921-3bad-412e-b7b5-65d9395c9c69', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-08 18:13:53,394 [AUDIT] Token revoked by 'anonymous': tokenId='18dfa4f9-a8d7-4ebf-95f3-9ca878d3ff8e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-08 18:13:53,425 [AUDIT] Token created by 'jffe@000': tokenId='641f4d7c-3940-4065-84aa-5aa3be46af5b', issuer='jffe@000', subject='jffe@000', expiry=1599589433425, refreshable=false
2020-09-08 18:19:08,174 [AUDIT] Token created by 'anonymous': tokenId='0e3650d9-d98a-4505-8a59-3946b6e6a691', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-08 18:19:08,234 [AUDIT] Token revoked by 'anonymous': tokenId='ab25e074-5eb9-4434-9d12-d390056dc7f1', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
